"source_label","source_mode","source_root","category","extension","size_bytes","last_write_time","file_name","relative_path","full_path"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".html","9347","2026-04-06 20:21:05","INPUT_SCOPE_REVIEW.html","INPUT_SCOPE_REVIEW.html","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\INPUT_SCOPE_REVIEW.html"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".json","109652","2026-04-09 22:18:33","INPUT_SCOPE_SOURCE_MAP.json","INPUT_SCOPE_SOURCE_MAP.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\INPUT_SCOPE_SOURCE_MAP.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".html","12371","2026-04-06 19:13:21","IPTV_EPG_Reference.html","IPTV_EPG_Reference.html","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\IPTV_EPG_Reference.html"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".csv","181","2026-02-21 00:06:59","lineups.csv","lineups.csv","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\lineups.csv"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".json","391","2026-02-21 00:06:59","lineups.json","lineups.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\lineups.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".xml","259","2026-02-21 00:06:59","lineups.xml","lineups.xml","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\lineups.xml"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".txt","2993","2026-01-15 23:02:26","networks_list.txt","networks_list.txt","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\networks_list.txt"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".bak","8407","2026-02-12 17:25:54","remove_lists_CA.bak","remove_lists_CA.bak","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_CA.bak"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".txt","8407","2026-01-15 10:52:57","remove_lists_CA.txt","remove_lists_CA.txt","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_CA.txt"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_paid_xmltv",".bak","26096","2026-02-12 17:25:54","remove_lists_US.bak","remove_lists_US.bak","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_US.bak"
