data_key,scope_order,in_scope,selected_channel_name,selected_channel_name_normalized,selected_channel_name_sort_key,network,feed,location,group_title,category_guess,language_guess,tvg_id,tvg_name,tvg_logo,match_key_tvg_id,match_key_tvg_name,match_key_channel_name,match_key_name_group,source_channel_order,source_duplicate_key,source_stream_host,notes
tvg_id::49,17,Y,CMT,CMT,cmt,CMT,,,Entertainment,Entertainment,,49,CMT,,49,cmt,cmt,cmt::entertainment,33,tvg_id::49,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::51,18,Y,Comedy Central (East),Comedy Central (East),comedy central east,Comedy Central,East,,Entertainment,Entertainment,,51,Comedy Central (East),,51,comedy central east,comedy central east,comedy central east::entertainment,34,tvg_id::51,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::52,19,Y,Comedy Central (West),Comedy Central (West),comedy central west,Comedy Central,West,,Entertainment,Entertainment,,52,Comedy Central (West),,52,comedy central west,comedy central west,comedy central west::entertainment,35,tvg_id::52,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::54,20,Y,CW PIX11 (WPIX) New York,CW PIX11 (WPIX) New York,cw pix11 wpix new york,The CW,,"New York, NY",Local Channels,Local,,54,CW PIX11 (WPIX) New York,,54,cw pix11 wpix new york,cw pix11 wpix new york,cw pix11 wpix new york::local channels,2781,tvg_id::54,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::56,21,Y,Discovery Channel (East),Discovery Channel (East),discovery channel east,Discovery,East,,Entertainment,Entertainment,,56,Discovery Channel (East),,56,discovery channel east,discovery channel east,discovery channel east::entertainment,38,tvg_id::56,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::57,22,Y,Discovery Channel (West),Discovery Channel (West),discovery channel west,Discovery,West,,Entertainment,Entertainment,,57,Discovery Channel (West),,57,discovery channel west,discovery channel west,discovery channel west::entertainment,39,tvg_id::57,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::66,23,Y,E! (East),E! (East),e east,E! Entertainment,East,,Entertainment,Entertainment,,66,E! (East),,66,e east,e east,e east::entertainment,42,tvg_id::66,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::67,24,Y,E! (West),E! (West),e west,E! Entertainment,West,,Entertainment,Entertainment,,67,E! (West),,67,e west,e west,e west::entertainment,43,tvg_id::67,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::83,25,Y,Food Network (East),Food Network (East),food network east,Food Network,East,,Entertainment,Entertainment,,83,Food Network (East),,83,food network east,food network east,food network east::entertainment,44,tvg_id::83,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::84,26,Y,Food Network (West),Food Network (West),food network west,Food Network,West,,Entertainment,Entertainment,,84,Food Network (West),,84,food network west,food network west,food network west::entertainment,45,tvg_id::84,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::86,27,Y,FOX 5 (WNYW) New York,FOX 5 (WNYW) New York,fox 5 wnyw new york,FOX,,"New York, NY",Local Channels,Local,,86,FOX 5 (WNYW) New York,,86,fox 5 wnyw new york,fox 5 wnyw new york,fox 5 wnyw new york::local channels,2783,tvg_id::86,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::3303,28,Y,FOX KSWB San Diego CA,FOX KSWB San Diego CA,fox kswb san diego ca,FOX,,"San Diego, CA",Local Channels,Local,,3303,FOX KSWB San Diego CA,,3303,fox kswb san diego ca,fox kswb san diego ca,fox kswb san diego ca::local channels,2849,tvg_id::3303,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::89,29,Y,Freeform (West),Freeform (West),freeform west,Freeform,West,,Entertainment,Entertainment,,89,Freeform (West),,89,freeform west,freeform west,freeform west::entertainment,47,tvg_id::89,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::88,30,Y,Freeform East,Freeform East,freeform east,Freeform,East,,Entertainment,Entertainment,,88,Freeform East,,88,freeform east,freeform east,freeform east::entertainment,46,tvg_id::88,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::32,31,Y,FX (East),FX (East),fx east,FX,East,,Entertainment,Entertainment,,32,FX (East),,32,fx east,fx east,fx east::entertainment,26,tvg_id::32,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::33,32,Y,FX (West),FX (West),fx west,FX,West,,Entertainment,Entertainment,,33,FX (West),,33,fx west,fx west,fx west::entertainment,27,tvg_id::33,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::36,33,Y,FX Movie Channel (FXM),FX Movie Channel (FXM),fx movie channel fxm,FX Movie,,,Entertainment,Movies,,36,FX Movie Channel (FXM),,36,fx movie channel fxm,fx movie channel fxm,fx movie channel fxm::entertainment,30,tvg_id::36,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::34,34,Y,FXX (East),FXX (East),fxx east,FXX,East,,Entertainment,Entertainment,,34,FXX (East),,34,fxx east,fxx east,fxx east::entertainment,28,tvg_id::34,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::35,35,Y,FXX (West),FXX (West),fxx west,FXX,West,,Entertainment,Entertainment,,35,FXX (West),,35,fxx west,fxx west,fxx west::entertainment,29,tvg_id::35,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::98,36,Y,HBO (East),HBO (East),hbo east,HBO,East,,Movies,Movies,,98,HBO (East),,98,hbo east,hbo east,hbo east::movies,146,tvg_id::98,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::99,37,Y,HBO (West),HBO (West),hbo west,HBO,West,,Movies,Movies,,99,HBO (West),,99,hbo west,hbo west,hbo west::movies,147,tvg_id::99,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::102,38,Y,HBO Comedy (East),HBO Comedy (East),hbo comedy east,HBO,East,,Movies,Movies,,102,HBO Comedy (East),,102,hbo comedy east,hbo comedy east,hbo comedy east::movies,150,tvg_id::102,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::103,39,Y,HBO Comedy (West),HBO Comedy (West),hbo comedy west,HBO,West,,Movies,Movies,,103,HBO Comedy (West),,103,hbo comedy west,hbo comedy west,hbo comedy west::movies,151,tvg_id::103,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
