"root_path","role","status","exists","relevant_file_count","relevant_total_bytes"
"C:\Users\andrew\PROJECTS\iptv","umbrella_system","active","True","69072","4742066501"
"C:\X1_Share\Tivimate","legacy_local_staging","freeze","True","25455","5009663794"
"C:\Utilities\Downloads","download_staging","freeze","True","2467","193248597"
"C:\Users\andrew\PROJECTS\GitHub\ZedTV-IPTV-Player-Recorder-Scraper-DEV","tool_eval_donor","read_only_for_now","True","830","254490168"
"C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting","paid_xmltv_source","active","True","736","22642861469"
"C:\X1_Share\IPTV_load_files","legacy_load_files","freeze","True","45","144446023"
"C:\Users\andrew\PROJECTS\GitHub\M3U_Manager-v3","donor_repo","read_only_for_now","True","8","31227"
"C:\Users\andrew\PROJECTS\GitHub\dispatcharr-plugin","donor_repo","read_only_for_now","True","5","1182733"
