"Count","Name"
"4094",".xml"
"3829",".js"
"2213",".json"
"2081",".md"
"1408",".html"
"814",".m3u"
"499",".txt"
"467",".ts"
"369",".dll"
"349",".dylib"
"314",".dat"
"263",".csv"
"247",".py"
"139",".tsv"
"116",".yml"
"114",".bak"
"98",".gz"
"81",".ps1"
"77",".pdf"
"63",".rs"
"56",""
"56",".tsx"
"50",".gitignore"
"45",".zip"
"36",".xlsx"
"32",".scss"
"30",".png"
"28",".dbf"
"22",".sh"
"21",".bat"
"20",".m3u8"
"17",".pyi"
"17",".css"
"14",".cs"
"13",".lock"
"9",".gitkeep"
"9",".bjl"
"9",".yaml"
"9",".svg"
"9",".pyd"
"8",".gitattributes"
"8",".xlsm"
"7",".mjs"
"6",".jar"
"5",".log"
"5",".sql"
"5",".docx"
"4",".ini"
"3",".htm"
"3",".mts"
"3",".ico"
"3",".toml"
"2",".csproj"
"2",".thmx"
"2",".bin"
"2",".listing"
"2",".jpg"
"2",".tws"
"2",".java"
"2",".dockerignore"
"2",".pyw"
"2",".jsonl"
"1",".download"
"1",".bak2"
"1",".flake8"
"1",".mif"
"1",".tsv,csv"
"1",".iml"
"1",".iss"
"1",".spec"
"1",".dbt"
"1",".com+dropboc_api+++"
"1",".raw"
"1",".pest"
"1",".diff"
"1",".prettierrc"
"1",".check"
"1",".files"
"1",".bas"
"1",".b4j"
"1",".meta"
"1",".mdx"
"1",".exe"
"1",".http"
"1",".sln"
