"source_root","target_root","relative_path","source_path","target_path","status","source_size_bytes","target_size_bytes"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\us_tcl.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\us_tcl.m3u","EXTRA_IN_TARGET","","740"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\it_samsung.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\it_samsung.m3u","EXTRA_IN_TARGET","","4202"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\es.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\es.m3u","EXTRA_IN_TARGET","","48311"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\gu.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\gu.m3u","EXTRA_IN_TARGET","","137"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\bi.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\bi.m3u","EXTRA_IN_TARGET","","118"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\nl_samsung.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\nl_samsung.m3u","EXTRA_IN_TARGET","","3710"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\us_xumo.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\us_xumo.m3u","EXTRA_IN_TARGET","","14229"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\ht.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\ht.m3u","EXTRA_IN_TARGET","","3506"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\mt_smash_plus.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\mt_smash_plus.m3u","EXTRA_IN_TARGET","","2300"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","review_from_iptv__C42511BE\va.m3u","","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\review_from_iptv__C42511BE\va.m3u","EXTRA_IN_TARGET","","348"
