lineup_id	country	in_scope	channel_type	type_lookup	channel_id	dn_1	dn_2	standard_cable_network_station	dn_3	call_sign	channel_number	network_base	network_lookup	city	city_lookup	region	region_lookup	brand_scope	scope_lookup	resolution	resolution_lookup	feed_lookup	manual_override_needed	Manual_Display_namne	final_display_name
10273	US	N	local	local	10750.stations.xmltv.tvmedia.ca	"Buzzr TV (WWOR-TV3) New York, NY"	WWOR-TV3	Yes	476	WWOR-TV3	476	Buzzr	Buzzr TV	TV (WWOR-TV3) New York	New York	NY	NY		country_unique						"Buzzr TV New York, NY (US)"
10273	US	N	specialty	specialty	3332.stations.xmltv.tvmedia.ca	BYU (Brigham Young University)	BYU	No	290	BYU	290	BYU	BYU						country_unique						#REF!
10273	US	N	specialty	specialty	2100.stations.xmltv.tvmedia.ca	Canal Sur	SUR	No	1549	SUR	1549	Canal Sur	Canal						country_unique						#REF!
10273	US	N	specialty	specialty	18803.stations.xmltv.tvmedia.ca	Cars.TV HD	CARS.TV	No	599	CARS.TV	599	Cars.TV HD	Cars.TV						country_unique		HD				#REF!
10271	US	Y	specialty	specialty	10611.stations.xmltv.tvmedia.ca	Cartoon Network - Adult Swim	26850	No		26850		Cartoon Network - Adult Swim	Cartoon						country_unique						#REF!
10270	CA	Y	specialty	specialty	162.stations.xmltv.tvmedia.ca	Cartoon Network Canada - East	CRTN	No	45	CRTN	45	Cartoon Network Canada - East	Cartoon						country_unique						#REF!
10269	CA	Y	specialty	specialty	162.stations.xmltv.tvmedia.ca	Cartoon Network Canada - East	CRTN	No	623	CRTN	623	Cartoon Network Canada - East	Cartoon						country_unique						#REF!
10269	CA	Y	specialty	specialty	10332.stations.xmltv.tvmedia.ca	Cartoon Network Canada - West HD	CRTN-W	No	622	CRTN-W	622	Cartoon Network Canada - West HD	Cartoon						country_unique		HD				#REF!
10273	US	Y	specialty	specialty	661.stations.xmltv.tvmedia.ca	Cartoon Network USA - Eastern Feed	TOON	No	1726	TOON	1726	Cartoon Network USA - Eastern Feed	Cartoon						country_unique						#REF!
10271	US	Y	specialty	specialty	661.stations.xmltv.tvmedia.ca	Cartoon Network USA - Eastern Feed	TOON	No	26800	TOON		Cartoon Network USA - Eastern Feed	Cartoon						country_unique						#REF!
10273	US	Y	specialty	specialty	6917.stations.xmltv.tvmedia.ca	Cartoon Network USA HD - Eastern	TOON	No	757	TOON	757	Cartoon Network USA HD - Eastern	Cartoon						country_unique		HD				#REF!
10271	US	Y	specialty	specialty	6917.stations.xmltv.tvmedia.ca	Cartoon Network USA HD - Eastern	TOON	No	1734	TOON	1734	Cartoon Network USA HD - Eastern	Cartoon						country_unique		HD				#REF!
10272	US	Y	local	local	34448.stations.xmltv.tvmedia.ca	"Catchy Comedy (KTTV4) Los Angeles, CA"	KTTV4	Yes	46123	46123		Catchy	Catchy Comedy	Comedy (KTTV4) Los Angeles	Los Angeles	CA	CA		country_unique						"Catchy Comedy Los Angeles, CA (US)"
10273	US	N	specialty	specialty	6004.stations.xmltv.tvmedia.ca	Catholic Faith Network	CFNTV	No	296	CFNTV	296	Catholic Faith Network	Catholic						country_unique						#REF!
10270	CA	Y	local	local	121.stations.xmltv.tvmedia.ca	"CBC (CBHT) Halifax, NS"	CBHT	Yes	125	CBHT	125	CBC	CBC	Halifax	Halifax	NS	NS		country_unique						"CBC Halifax, NS (CA)"
10269	CA	N	specialty	specialty	9221.stations.xmltv.tvmedia.ca	UNI (KVOS) Bellingham	KVOSB-TV	Yes	141	KVOSB-TV	141	UNI	UNI						multi_country						#REF!
10269	CA	Y	specialty	local	6805.stations.xmltv.tvmedia.ca	"CBC (CBHT) Halifax, NS HD"	CBHT-HD	Yes	200	CBHT-HD	200	CBC	CBC		Halifax		NS		country_unique		HD				"CBC Halifax, NS (CA) (HD)"
10273	US	N	specialty	specialty	2707.stations.xmltv.tvmedia.ca	Lifetime Real Women East	LIFERW	No	142	LIFERW	142	Lifetime Real Women East	Lifetime						country_unique						#REF!
10269	CA	Y	specialty	local	2825.stations.xmltv.tvmedia.ca	"CBC (CBHT) Halifax, NS HD"	CITYHD	Yes	230	CITYHD	230	"CITY Toronto, ON HD"	CBC		Halifax		NS		country_unique		HD				"CBC Halifax, NS (CA) (HD)"
10270	CA	Y	local	local	34.stations.xmltv.tvmedia.ca	"CBC (CBLT) Toronto, ON"	CBLT	Yes	127	CBLT	127	CBC	CBC	Toronto	Toronto	ON	ON		country_unique						"CBC Toronto, ON (CA)"
10269	CA	Y	specialty	local	2826.stations.xmltv.tvmedia.ca	"CBC (CBLT) Toronto, ON HD"	CBLT-HD	Yes	201	CBLT-HD	201	CBC	CBC		Toronto		ON		country_unique		HD				"CBC Toronto, ON (CA) (HD)"
10270	CA	Y	specialty	local	2826.stations.xmltv.tvmedia.ca	"CBC (CBLT) Toronto, ON HD"	CBLT-HD	Yes	514	CBLT-HD	514	CBC	CBC		Toronto		ON		country_unique		HD				"CBC Toronto, ON (CA) (HD)"
10270	CA	Y	local	local	200.stations.xmltv.tvmedia.ca	"CBC (CBNT) St-John's, NL"	CBNT	Yes	124	CBNT	124	CBC	CBC	St-John's	St-John's	NL	NL		country_unique						"CBC St-John's, NL (CA)"
10270	CA	Y	local	local	147.stations.xmltv.tvmedia.ca	"CBC (CBRT) Calgary, AB"	CBRT	Yes	131	CBRT	131	CBC	CBC	Calgary	Calgary	AB	AB		country_unique						"CBC Calgary, AB (CA)"
10269	CA	Y	specialty	local	6809.stations.xmltv.tvmedia.ca	"CBC (CBRT) Calgary, AB HD"	CBRT-HD	Yes	204	CBRT-HD	204	CBC	CBC		Calgary		AB		country_unique		HD				"CBC Calgary, AB (CA) (HD)"
10273	US	N	specialty	specialty	664.stations.xmltv.tvmedia.ca	WE (Women's Entertainment) - Eastern	WE	Yes	149	WE	149	WE	WE						country_unique						#REF!
10270	CA	Y	local	local	180.stations.xmltv.tvmedia.ca	"CBC (CBUT) Vancouver, BC"	CBUT	Yes	132	CBUT	132	CBC	CBC	Vancouver	Vancouver	BC	BC		country_unique						"CBC Vancouver, BC (CA)"
10269	CA	Y	specialty	local	6257.stations.xmltv.tvmedia.ca	"CBC (CBUT) Vancouver, BC HD"	CBUT-HD	Yes	205	CBUT-HD	205	CBC	CBC		Vancouver		BC		country_unique		HD				"CBC Vancouver, BC (CA) (HD)"
10273	US	N	specialty	specialty	3000.stations.xmltv.tvmedia.ca	Jewelry Television	JTV	No	152	JTV	152	Jewelry Television	Jewelry						country_unique						#REF!
10270	CA	Y	specialty	local	6257.stations.xmltv.tvmedia.ca	"CBC (CBUT) Vancouver, BC HD"	CBUT-HD	Yes	582	CBUT-HD	582	CBC	CBC		Vancouver		BC		country_unique		HD				"CBC Vancouver, BC (CA) (HD)"
10270	CA	Y	local	local	110.stations.xmltv.tvmedia.ca	"CBC (CBWT) Winnipeg, MB"	CBWT	Yes	130	CBWT	130	CBC	CBC	Winnipeg	Winnipeg	MB	MB		country_unique						"CBC Winnipeg, MB (CA)"
10269	CA	Y	specialty	local	6810.stations.xmltv.tvmedia.ca	"CBC (CBWT) Winnipeg, MB HD"	CBWT-HD	Yes	202	CBWT-HD	202	CBC	CBC		Winnipeg		MB		country_unique		HD				"CBC Winnipeg, MB (CA) (HD)"
10270	CA	Y	specialty	specialty	74.stations.xmltv.tvmedia.ca	CBC News Network	CBCNN	No	189	CBCNN	189	CBC News Network	CBC						country_unique						#REF!
10270	CA	Y	specialty	specialty	6421.stations.xmltv.tvmedia.ca	CBC News Network HD	NWHD	No	544	NWHD	544	CBC News Network HD	CBC						country_unique		HD				#REF!
10273	US	N	local	local	32612.stations.xmltv.tvmedia.ca	"Shop LC (WLWT3) Cincinnati, OH"	WLWT3	Yes	159	WLWT3	159	Shop	Shop LC	LC (WLWT3) Cincinnati	Cincinnati	OH	OH		country_unique						"Shop LC Cincinnati, OH (US)"
10269	CA	Y	specialty	specialty	6421.stations.xmltv.tvmedia.ca	CBC News Network HD	NWHD	No	800	NWHD	800	CBC News Network HD	CBC						country_unique		HD				#REF!
10269	CA	Y	specialty	specialty	6787.stations.xmltv.tvmedia.ca	CBC On Demand	CBCOD	No	206	CBCOD	206	CBC On Demand	CBC						country_unique						#REF!
