channel_id,display_name,Telus_Optik_Vancouver_BC_CA,Rogers_Toronto_ON_CA,Xfinity_Chicago_IL_US,Broadcast_LosAngeles_CA_US,Verizon_FIOS_NewYork_NY_US
11012.stations.xmltv.tvmedia.ca,National Geographic Wild Canada HD,Y,,,,
11044.stations.xmltv.tvmedia.ca,Lifetime TV - Canada HD,Y,,,,
11048.stations.xmltv.tvmedia.ca,"Movies! (WNYW2) New York, NY",,,,,Y
11051.stations.xmltv.tvmedia.ca,ATN - Food Food,,Y,,,
11068.stations.xmltv.tvmedia.ca,"SSTN (WDVB-CD2) Edison, NJ",,,,,Y
11071.stations.xmltv.tvmedia.ca,"Estrella (WASA-LD) Port Jervis, NY",,,,,Y
11076.stations.xmltv.tvmedia.ca,"Bounce (WPXN-TV2) New York, NY",,,,,Y
11077.stations.xmltv.tvmedia.ca,"ION Mystery (WPXN-TV3) New York, NY",,,,,Y
11080.stations.xmltv.tvmedia.ca,"América TeVé (WPXO-LD) East Orange, NJ",,,,,Y
11106.stations.xmltv.tvmedia.ca,Rewind HD,Y,,,,
11121.stations.xmltv.tvmedia.ca,BBC America - East HD,,,Y,,Y
11137.stations.xmltv.tvmedia.ca,Fox Sports 1 HD,,,,,Y
11143.stations.xmltv.tvmedia.ca,DTOUR,,Y,,,
11149.stations.xmltv.tvmedia.ca,STARZ2 - West HD,Y,,,,
11156.stations.xmltv.tvmedia.ca,"US Armenia (KIIO-LD) Los Angeles, CA",,,,Y,
11163.stations.xmltv.tvmedia.ca,"CGN (KSCI-DT4) Los Angeles, CA",,,,Y,
11164.stations.xmltv.tvmedia.ca,MBC-D (KSCI-DT3),,,,Y,
11166.stations.xmltv.tvmedia.ca,South Korean (KSCI-DT9),,,,Y,
11167.stations.xmltv.tvmedia.ca,LA 18.8 (KSCI-DT8),,,,Y,
11168.stations.xmltv.tvmedia.ca,"SBS (KSCI-DT2) Long Beach, CA",,,,Y,
11169.stations.xmltv.tvmedia.ca,"SonLife Network (KNLA) Los Angeles, CA",,,,Y,
11173.stations.xmltv.tvmedia.ca,"Heartland (KWHY-TV2) Los Angeles, CA",,,,Y,
11175.stations.xmltv.tvmedia.ca,"Court TV (KPXN-TV2) Los Angeles, CA",,,,Y,
11177.stations.xmltv.tvmedia.ca,"ION Plus (KPXN-TV3) Los Angeles, CA",,,,Y,
11180.stations.xmltv.tvmedia.ca,"Laff (KPXN-TV4) Los Angeles, CA",,,,Y,
11181.stations.xmltv.tvmedia.ca,"CEN (KNLA-CD2) Los Angeles, CA",,,,Y,
11183.stations.xmltv.tvmedia.ca,"DIYA TV (KNLA-CD3) Los Angeles, CA",,,,Y,
11184.stations.xmltv.tvmedia.ca,"HSN (KNET) Los Angeles, CA",,,,Y,
1119.stations.xmltv.tvmedia.ca,TBN  - Trinity Broadcasting Network - East,,,,,Y
11192.stations.xmltv.tvmedia.ca,"MeTV Plus (KAZA-TV3) Avalon, CA",,,,Y,
11193.stations.xmltv.tvmedia.ca,"FNX (KLCS4) Los Angeles, CA",,,,Y,
11195.stations.xmltv.tvmedia.ca,"Estrella (KRCA) Los Angeles, CA",,,,Y,
1120.stations.xmltv.tvmedia.ca,Oxygen True Crime Canada,,Y,,,
11200.stations.xmltv.tvmedia.ca,"Almavision (KTAV-LD) Los Angeles, CA",,,,Y,
