"type","last_write","size_bytes","src_path","dst_path"
"epg","30/11/25 3:17:37 PM","38731400","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\custom\output\local_run\open-epg-us.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\AD62A8200E__open-epg-us.xml"
"epg","30/11/25 3:17:37 PM","38731400","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com\scripts\data\output\open-epg-us.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\AD62A8200E__open-epg-us.xml"
"epg","30/11/25 12:00:24 PM","37323357","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com\data\output\open-epg-us.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\BAE85F5C5B__open-epg-us.xml"
"epg","11/08/25 2:55:39 AM","30787662","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_us_locals2.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\47E15D3924__epg_epgshare_us_locals2.xml.gz"
"epg","30/11/25 3:17:25 PM","26402632","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com\scripts\data\output\open-epg-uk.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A4307FC6__open-epg-uk.xml"
"epg","30/11/25 3:17:25 PM","26402632","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\custom\output\local_run\open-epg-uk.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A4307FC6__open-epg-uk.xml"
"epg","30/11/25 12:00:07 PM","26402632","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com\data\output\open-epg-uk.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\E6A4307FC6__open-epg-uk.xml"
"epg","30/11/25 3:17:17 PM","23409316","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com\scripts\data\output\open-epg-ca.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\1F231E49EE__open-epg-ca.xml"
"epg","30/11/25 3:17:17 PM","23409316","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\custom\output\local_run\open-epg-ca.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\1F231E49EE__open-epg-ca.xml"
"epg","30/11/25 11:59:56 AM","23409316","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com\data\output\open-epg-ca.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\1F231E49EE__open-epg-ca.xml"
"epg","22/11/25 11:55:20 AM","12088030","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\i.mjh.nz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\331AE3F17F__content.xml"
"epg","03/02/25 2:36:51 PM","12088030","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg\sites\i.mjh.nz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\331AE3F17F__content.xml"
"epg","12/11/24 10:59:07 AM","12088030","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__CEF6D209\sites\i.mjh.nz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\331AE3F17F__content.xml"
"epg","12/11/24 10:59:07 AM","12088030","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\epg\sites\i.mjh.nz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\331AE3F17F__content.xml"
"epg","12/11/24 10:59:07 AM","12088030","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__BE5F3E8D\sites\i.mjh.nz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\331AE3F17F__content.xml"
"epg","12/11/24 10:59:07 AM","12088030","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\epg\sites\i.mjh.nz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\331AE3F17F__content.xml"
"epg","04/11/24 2:47:10 PM","12088030","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5\sites\i.mjh.nz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\331AE3F17F__content.xml"
"epg","04/11/24 2:47:10 PM","12088030","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25\sites\i.mjh.nz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\331AE3F17F__content.xml"
"epg","11/08/25 2:55:37 AM","8926343","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio\data\raw\Processed\08-21-2025_00-06-45\epg_epgshare_rakuten1.xml.gz","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\332C4E63EB__epg_epgshare_rakuten1.xml.gz"
"epg","30/11/25 3:17:09 PM","6592541","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com\scripts\data\output\open-epg-au.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\4D2B089DC5__open-epg-au.xml"
"epg","30/11/25 3:17:09 PM","6592541","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\custom\output\local_run\open-epg-au.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\4D2B089DC5__open-epg-au.xml"
"epg","30/11/25 11:59:45 AM","6592541","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com\data\output\open-epg-au.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\4D2B089DC5__open-epg-au.xml"
"epg","22/11/25 11:55:20 AM","4448077","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master\sites\epg.112114.xyz\__data__\content.xml","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\epg\CF3D75EEE6__content.xml"
