channel_id,display_name
10264.stations.xmltv.tvmedia.ca,"CW (KFMB-TV2) San Diego, CA"
10734.stations.xmltv.tvmedia.ca,Paramount+ with Showtime  West
1194.stations.xmltv.tvmedia.ca,Starz Kids & Family - Eastern
1215.stations.xmltv.tvmedia.ca,Cinemax - Pacific Feed
1217.stations.xmltv.tvmedia.ca,Starz - Pacific
1218.stations.xmltv.tvmedia.ca,Starz Encore - Pacific
1222.stations.xmltv.tvmedia.ca,TMC (US) - Pacific Feed
1271.stations.xmltv.tvmedia.ca,Disney - Pacific Feed
1274.stations.xmltv.tvmedia.ca,ION  - Eastern Feed
1305.stations.xmltv.tvmedia.ca,Univision - Eastern Feed
1306.stations.xmltv.tvmedia.ca,Univision - Pacific Feed
1472.stations.xmltv.tvmedia.ca,HBO - Pacific Feed
14995.stations.xmltv.tvmedia.ca,Comedy.TV
15014.stations.xmltv.tvmedia.ca,MBC Drama (Korean)
17063.stations.xmltv.tvmedia.ca,Sony Movies
1949.stations.xmltv.tvmedia.ca,"FOX (KTTV) Los Angeles, CA"
1957.stations.xmltv.tvmedia.ca,Starz In Black - Eastern
2077.stations.xmltv.tvmedia.ca,SHOXBET - Eastern
2091.stations.xmltv.tvmedia.ca,LOGO - East
2172.stations.xmltv.tvmedia.ca,"CBS (KCBS) Los Angeles, CA"
2205.stations.xmltv.tvmedia.ca,HBO 2 - Pacific Feed
2588.stations.xmltv.tvmedia.ca,"NBC (KNBC) Los Angeles, CA"
2589.stations.xmltv.tvmedia.ca,"ABC (KABC) Los Angeles, CA"
3252.stations.xmltv.tvmedia.ca,History Channel Espanol - Eastern
35317.stations.xmltv.tvmedia.ca,AMC+
3567.stations.xmltv.tvmedia.ca,Cinemax - Eastern HD
3808.stations.xmltv.tvmedia.ca,MTV Tr3s - East
4225.stations.xmltv.tvmedia.ca,Discovery Family Channel
4259.stations.xmltv.tvmedia.ca,PBS - Network HD - Eastern
6081.stations.xmltv.tvmedia.ca,MTV Live HD
6216.stations.xmltv.tvmedia.ca,Crime & Investigation Network USA HD
6237.stations.xmltv.tvmedia.ca,Smithsonian Channel USA HD
7087.stations.xmltv.tvmedia.ca,Starz Cinema HD - Eastern
7088.stations.xmltv.tvmedia.ca,Starz Comedy HD - Eastern
7102.stations.xmltv.tvmedia.ca,HBO Zone HD - East
7105.stations.xmltv.tvmedia.ca,HBO Comedy HD - East
7106.stations.xmltv.tvmedia.ca,Showtime Showcase HD - East
7109.stations.xmltv.tvmedia.ca,Showtime Next HD - Eastern
7113.stations.xmltv.tvmedia.ca,TMC Xtra HD - Eastern
