"source_root","target_root","mode","full_path","relative_path","target_path","target_exists_now","extension","size_bytes","last_write_time"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\01D382E78E__mx.m3u","01D382E78E__mx.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\01D382E78E__mx.m3u","False",".m3u","27637","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\02CFDD9B0B__ng.m3u","02CFDD9B0B__ng.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\02CFDD9B0B__ng.m3u","False",".m3u","7359","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\04090DD121__th.m3u","04090DD121__th.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\04090DD121__th.m3u","False",".m3u","5870","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\049665073F__ru_zabava.m3u","049665073F__ru_zabava.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\049665073F__ru_zabava.m3u","False",".m3u","3782","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\04F1B340E4__playlist_src_us_roku.m3u","04F1B340E4__playlist_src_us_roku.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\04F1B340E4__playlist_src_us_roku.m3u","False",".m3u","5399","2025-08-11 02:55:23"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\051E8DE037__am_ucom.m3u","051E8DE037__am_ucom.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\051E8DE037__am_ucom.m3u","False",".m3u","21546","2024-11-20 15:31:28"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\053B3C34D3__playlist_apsattv_lg.m3u","053B3C34D3__playlist_apsattv_lg.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\053B3C34D3__playlist_apsattv_lg.m3u","False",".m3u","159946","2025-08-11 02:55:31"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\07FA5D6A8B__pt.m3u","07FA5D6A8B__pt.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\07FA5D6A8B__pt.m3u","False",".m3u","8402","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0886DDBC5F__index.region.m3u","0886DDBC5F__index.region.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0886DDBC5F__index.region.m3u","False",".m3u","4338","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0939C6EFA2__za.m3u","0939C6EFA2__za.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0939C6EFA2__za.m3u","False",".m3u","2425","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\094A313C50__playlist_iptv-org_ie.m3u","094A313C50__playlist_iptv-org_ie.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\094A313C50__playlist_iptv-org_ie.m3u","False",".m3u","16869","2025-08-11 02:55:22"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0AEEF02F5B__us_stirr.m3u","0AEEF02F5B__us_stirr.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0AEEF02F5B__us_stirr.m3u","False",".m3u","12515","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0B19F7E2D9__it.m3u","0B19F7E2D9__it.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0B19F7E2D9__it.m3u","False",".m3u","42943","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0BA775473E__br_pluto.m3u","0BA775473E__br_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0BA775473E__br_pluto.m3u","False",".m3u","7708","2024-11-20 15:31:28"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0D17DCF3F7__us.m3u","0D17DCF3F7__us.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0D17DCF3F7__us.m3u","False",".m3u","66812","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0DB32C9E05__raw-tv.m3u8","0DB32C9E05__raw-tv.m3u8","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0DB32C9E05__raw-tv.m3u8","False",".m3u8","60993","2025-08-21 00:10:56"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\1044775114__ua.m3u","1044775114__ua.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\1044775114__ua.m3u","False",".m3u","10507","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\1271C02C4A__se_samsung.m3u","1271C02C4A__se_samsung.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\1271C02C4A__se_samsung.m3u","False",".m3u","3101","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\138ED489E4__cd.m3u","138ED489E4__cd.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\138ED489E4__cd.m3u","False",".m3u","4434","2024-11-20 15:31:28"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\15A5EEDF57__playlist_src_us_firetv.m3u","15A5EEDF57__playlist_src_us_firetv.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\15A5EEDF57__playlist_src_us_firetv.m3u","False",".m3u","7140","2025-08-11 02:55:22"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\160C14B64D__hr.m3u","160C14B64D__hr.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\160C14B64D__hr.m3u","False",".m3u","2617","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\187D0C51EC__gt.m3u","187D0C51EC__gt.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\187D0C51EC__gt.m3u","False",".m3u","10605","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\1A36F53894__playlist_src_us_plex.m3u","1A36F53894__playlist_src_us_plex.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\1A36F53894__playlist_src_us_plex.m3u","False",".m3u","2167","2025-08-11 02:55:23"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\21120CD4CA__sn.m3u","21120CD4CA__sn.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\21120CD4CA__sn.m3u","False",".m3u","3541","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\212E92A05A__de_adultswim.m3u","212E92A05A__de_adultswim.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\212E92A05A__de_adultswim.m3u","False",".m3u","4050","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\21DBDC4BFE__playlist_free-tv_au.m3u8","21DBDC4BFE__playlist_free-tv_au.m3u8","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\21DBDC4BFE__playlist_free-tv_au.m3u8","False",".m3u8","16826","2025-08-11 02:55:35"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\24C1D97A60__us_pbs.m3u","24C1D97A60__us_pbs.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\24C1D97A60__us_pbs.m3u","False",".m3u","2534","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\25D62BBA2D__raw.m3u8","25D62BBA2D__raw.m3u8","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\25D62BBA2D__raw.m3u8","False",".m3u8","210629","2025-08-21 00:11:03"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\266F56FF94__az_odtv.m3u","266F56FF94__az_odtv.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\266F56FF94__az_odtv.m3u","False",".m3u","5373","2024-11-20 15:31:28"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\27878C1164__dk.m3u","27878C1164__dk.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\27878C1164__dk.m3u","False",".m3u","3027","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\29FCBCA3D9__playlist_apsattv_samsung_us.m3u","29FCBCA3D9__playlist_apsattv_samsung_us.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\29FCBCA3D9__playlist_apsattv_samsung_us.m3u","False",".m3u","106383","2025-08-11 02:55:27"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\2B0BF86FE2__my.m3u","2B0BF86FE2__my.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\2B0BF86FE2__my.m3u","False",".m3u","3516","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\2E7743AA88__playlist_local_us.m3u","2E7743AA88__playlist_local_us.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\2E7743AA88__playlist_local_us.m3u","False",".m3u","542127","2025-08-11 02:55:36"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\2E7743AA88__us.m3u","2E7743AA88__us.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\2E7743AA88__us.m3u","False",".m3u","542127","2025-08-10 22:30:34"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\2ED3500F79__playlist_src_us_abcnews.m3u","2ED3500F79__playlist_src_us_abcnews.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\2ED3500F79__playlist_src_us_abcnews.m3u","False",".m3u","2922","2025-08-11 02:55:22"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\30491F9FE7__playlist_tvpass.m3u","30491F9FE7__playlist_tvpass.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\30491F9FE7__playlist_tvpass.m3u","False",".m3u","65729","2025-08-11 02:55:35"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\31B5AC08C1__ug.m3u","31B5AC08C1__ug.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\31B5AC08C1__ug.m3u","False",".m3u","5126","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\3405DBE275__es_pluto.m3u","3405DBE275__es_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\3405DBE275__es_pluto.m3u","False",".m3u","24025","2024-11-20 15:31:29"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","copy_review_only","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\35866501BF__ps.m3u","35866501BF__ps.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\35866501BF__ps.m3u","False",".m3u","3940","2024-11-20 15:31:29"
