channel_id,display_name,DirecTV[US],Spectrum_NY[US],Bell_Fibe[CA]
665.stations.xmltv.tvmedia.ca,Paramount+ with Showtime - Eastern Feed,Y,Y,
666.stations.xmltv.tvmedia.ca,TMC (US) - Eastern Feed,,Y,
667.stations.xmltv.tvmedia.ca,Starz Encore - Eastern,Y,Y,
6768.stations.xmltv.tvmedia.ca,"ICI (CBOFT) Ottawa, ON HD",,,Y
6769.stations.xmltv.tvmedia.ca,"ICI (CBUFT) Vancouver, BC HD",,,Y
6779.stations.xmltv.tvmedia.ca,TLC Canada HD,,,Y
6791.stations.xmltv.tvmedia.ca,Cottage Life HD,,,Y
6797.stations.xmltv.tvmedia.ca,CTV Drama HD,,,Y
6805.stations.xmltv.tvmedia.ca,"CBC (CBHT) Halifax, NS HD",,,Y
6808.stations.xmltv.tvmedia.ca,"CBC (CBOT) Ottawa, ON HD",,,Y
6809.stations.xmltv.tvmedia.ca,"CBC (CBRT) Calgary, AB HD",,,Y
6810.stations.xmltv.tvmedia.ca,"CBC (CBWT) Winnipeg, MB HD",,,Y
6811.stations.xmltv.tvmedia.ca,"CBC (CBXT) Edmonton, AB HD",,,Y
6812.stations.xmltv.tvmedia.ca,CTV (CJCH) Halifax HD,,,Y
6814.stations.xmltv.tvmedia.ca,CTV (CKCW) Moncton HD,,,Y
6816.stations.xmltv.tvmedia.ca,"ICI (CBAFT) Moncton, NB HD",,,Y
6822.stations.xmltv.tvmedia.ca,History Canada HD East,,,Y
6837.stations.xmltv.tvmedia.ca,BET Her,,Y,
6838.stations.xmltv.tvmedia.ca,Primetime OnDemand,,Y,
69.stations.xmltv.tvmedia.ca,"CTV (CKCO) Kitchener, ON",,,Y
6921.stations.xmltv.tvmedia.ca,NFL RedZone,,Y,
6994.stations.xmltv.tvmedia.ca,HLN HD,,,Y
70.stations.xmltv.tvmedia.ca,CNN,,Y,Y
7087.stations.xmltv.tvmedia.ca,Starz Cinema HD - Eastern,Y,,
7088.stations.xmltv.tvmedia.ca,Starz Comedy HD - Eastern,Y,,
7102.stations.xmltv.tvmedia.ca,HBO Zone HD - East,Y,,
7105.stations.xmltv.tvmedia.ca,HBO Comedy HD - East,Y,,
7106.stations.xmltv.tvmedia.ca,Showtime Showcase HD - East,Y,,
7109.stations.xmltv.tvmedia.ca,Showtime Next HD - Eastern,Y,,
7113.stations.xmltv.tvmedia.ca,TMC Xtra HD - Eastern,Y,,
7137.stations.xmltv.tvmedia.ca,Crave3 - East HD,,,Y
7139.stations.xmltv.tvmedia.ca,Crave2 - East HD,,,Y
7167.stations.xmltv.tvmedia.ca,"MNT (WNYO) Buffalo, NY HD",,,Y
7174.stations.xmltv.tvmedia.ca,"CTV Ottawa (CJOH), ON HD",,,Y
7176.stations.xmltv.tvmedia.ca,"CTV Montreal (CFCF), QC HD",,,Y
72.stations.xmltv.tvmedia.ca,Crave1 - East,,,Y
73.stations.xmltv.tvmedia.ca,Much Music,,,Y
7305.stations.xmltv.tvmedia.ca,"UNI (WXTV) Teaneck, NJ HD",,Y,
7307.stations.xmltv.tvmedia.ca,"Telemundo (WNJU) Teterboro, NJ HD",,Y,
7309.stations.xmltv.tvmedia.ca,"UniMás (WFUT) New York, NY HD",,Y,
7336.stations.xmltv.tvmedia.ca,Adult Swim - East HD,,,Y
74.stations.xmltv.tvmedia.ca,CBC News Network,,,Y
7537.stations.xmltv.tvmedia.ca,National Geographic Wild,Y,Y,
7609.stations.xmltv.tvmedia.ca,MGM+ - East,,Y,
7647.stations.xmltv.tvmedia.ca,Music On Demand HD,,,Y
7807.stations.xmltv.tvmedia.ca,MovieTime HD,,,Y
7930.stations.xmltv.tvmedia.ca,MGM+ On Demand,,Y,
7950.stations.xmltv.tvmedia.ca,"CTV (CKY) Winnipeg, MB HD",,,Y
8368.stations.xmltv.tvmedia.ca,AMC - Canada HD,,,Y
8379.stations.xmltv.tvmedia.ca,CTV2 Vancouver Island. BC HD,,,Y
8383.stations.xmltv.tvmedia.ca,CTV2 Atlantic Region HD,,,Y
8389.stations.xmltv.tvmedia.ca,Flavour Network HD,,,Y
8399.stations.xmltv.tvmedia.ca,TVO (TV Ontario) HD,,,Y
84.stations.xmltv.tvmedia.ca,HBO1,,,Y
8430.stations.xmltv.tvmedia.ca,MS NOW HD,,,Y
8451.stations.xmltv.tvmedia.ca,USA Network (CAN) HD,,,Y
8457.stations.xmltv.tvmedia.ca,History 2 Canada HD,,,Y
8458.stations.xmltv.tvmedia.ca,Oxygen True Crime Canada HD,,,Y
85.stations.xmltv.tvmedia.ca,Crave3 - East,,,Y
8558.stations.xmltv.tvmedia.ca,E! Canada HD,,,Y
86.stations.xmltv.tvmedia.ca,Crave2 - East,,,Y
8687.stations.xmltv.tvmedia.ca,TBD (WRNN-TV2) New York,,Y,
8777.stations.xmltv.tvmedia.ca,Family Channel Canada - East HD,,,Y
88.stations.xmltv.tvmedia.ca,"CBS (WIVB) Buffalo, NY",,,Y
89.stations.xmltv.tvmedia.ca,"ABC (WKBW) Buffalo, NY",,,Y
90.stations.xmltv.tvmedia.ca,"KTLA Los Angeles, CA",,,Y
91.stations.xmltv.tvmedia.ca,"NBC (WGRZ) Buffalo, NY",,,Y
9112.stations.xmltv.tvmedia.ca,MAX HD,,,Y
9116.stations.xmltv.tvmedia.ca,Documentary Channel (Canada) HD,,,Y
9156.stations.xmltv.tvmedia.ca,Cinépop HD,,,Y
92.stations.xmltv.tvmedia.ca,"PBS (WNED) Buffalo, NY",,,Y
9309.stations.xmltv.tvmedia.ca,OUTtv HD,,,Y
9396.stations.xmltv.tvmedia.ca,Much Music HD,,,Y
9505.stations.xmltv.tvmedia.ca,Bravo Canada HD,,,Y
9530.stations.xmltv.tvmedia.ca,WGN Canada HD,,,Y
9574.stations.xmltv.tvmedia.ca,"WLNY TV10/55, Riverhead, NY",,Y,
9632.stations.xmltv.tvmedia.ca,Slice HD,,,Y
9652.stations.xmltv.tvmedia.ca,W (WTN) - East HD,,,Y
9660.stations.xmltv.tvmedia.ca,"CTV (CKCK) Regina, SK HD",,,Y
9690.stations.xmltv.tvmedia.ca,"CTV (CKCO) Kitchener, ON HD",,,Y
9694.stations.xmltv.tvmedia.ca,"Global (CKWS) Kingston, ON HD",,,Y
9696.stations.xmltv.tvmedia.ca,"Global (CHEX-TV-2) Durham, ON HD",,,Y
9697.stations.xmltv.tvmedia.ca,"Global (CHEX) Peterborough, ON HD",,,Y
