channel_id,display_name,DirecTV[US],Spectrum_NY[US],Bell_Fibe[CA]
13400.stations.xmltv.tvmedia.ca,FXX Canada,,,Y
13401.stations.xmltv.tvmedia.ca,FXX Canada HD,,,Y
13572.stations.xmltv.tvmedia.ca,OMNI.1 (CFMT-DT-1) London,,,Y
13585.stations.xmltv.tvmedia.ca,Global (CIII-DT-41) Toronto,,,Y
13625.stations.xmltv.tvmedia.ca,Univision Canada,,,Y
1377.stations.xmltv.tvmedia.ca,Cinemax Action - Eastern,Y,Y,
13784.stations.xmltv.tvmedia.ca,Crime + Investigation Canada HD,,,Y
13841.stations.xmltv.tvmedia.ca,"CTV2 (CIVI-DT2) Vancouver, BC",,,Y
1387.stations.xmltv.tvmedia.ca,Showtime 2 - Eastern,,Y,
13887.stations.xmltv.tvmedia.ca,"TVO (CICA-DT) Toronto, ON",,,Y
14.stations.xmltv.tvmedia.ca,ICI (CBLFT) Toronto,,,Y
14229.stations.xmltv.tvmedia.ca,"CTV2 Barrie, ON (CKVR)",,,Y
143.stations.xmltv.tvmedia.ca,"CTV (CKY) Winnipeg, MB",,,Y
146.stations.xmltv.tvmedia.ca,"CBC (CBXT) Edmonton, AB",,,Y
147.stations.xmltv.tvmedia.ca,"CBC (CBRT) Calgary, AB",,,Y
1472.stations.xmltv.tvmedia.ca,HBO - Pacific Feed,Y,,
1486.stations.xmltv.tvmedia.ca,FUSE TV - Eastern feed,,Y,
14995.stations.xmltv.tvmedia.ca,Comedy.TV,Y,,
15014.stations.xmltv.tvmedia.ca,MBC Drama (Korean),Y,,
1515.stations.xmltv.tvmedia.ca,MTV 2 - East,Y,Y,
153.stations.xmltv.tvmedia.ca,CTV Sci-Fi,,,Y
159.stations.xmltv.tvmedia.ca,CTV Comedy - East,,,Y
1615.stations.xmltv.tvmedia.ca,Showtime Extreme - Eastern,Y,Y,
1632.stations.xmltv.tvmedia.ca,"CTV (CKNY) North Bay, ON",,,Y
1633.stations.xmltv.tvmedia.ca,"CTV (CITO) Timmins, ON",,,Y
1634.stations.xmltv.tvmedia.ca,"CTV (CHBX) Sault Ste. Marie, ON",,,Y
1635.stations.xmltv.tvmedia.ca,"CTV (CICI) Sudbury, ON",,,Y
1638.stations.xmltv.tvmedia.ca,"FOX (WNYW) New York, NY",Y,Y,
164.stations.xmltv.tvmedia.ca,History Canada East,,,Y
16429.stations.xmltv.tvmedia.ca,"GetTV (WFUT-DT3) Newark, NJ",,Y,
16450.stations.xmltv.tvmedia.ca,"Twist (WXTV-DT3) Paterson, NJ",,Y,
1649.stations.xmltv.tvmedia.ca,MSG (Madison Square Gardens),,Y,
1651.stations.xmltv.tvmedia.ca,HBO Drama (HBO 3) - Eastern,Y,Y,
1652.stations.xmltv.tvmedia.ca,ThrillerMax - East,Y,Y,
16683.stations.xmltv.tvmedia.ca,Disney Channel Canada HD - East,,,Y
167.stations.xmltv.tvmedia.ca,Home Network,,,Y
169.stations.xmltv.tvmedia.ca,Flavour Network,,,Y
1716.stations.xmltv.tvmedia.ca,"Peachtree TV (WPCH-TV) Atlanta, GA",,,Y
176.stations.xmltv.tvmedia.ca,Turner Classic Movies USA,,Y,
1766.stations.xmltv.tvmedia.ca,"CBS (WCBS) New York, NY",Y,Y,
1767.stations.xmltv.tvmedia.ca,"NBC (WNBC) New York, NY",Y,Y,
1769.stations.xmltv.tvmedia.ca,"ABC (WABC) New York, NY",Y,Y,
177.stations.xmltv.tvmedia.ca,AMC - Eastern Feed,,Y,
1774.stations.xmltv.tvmedia.ca,"PBS (WNET) New York, NY",,Y,
1775.stations.xmltv.tvmedia.ca,"PBS (WLIW) Long Island, NY",,Y,
1778.stations.xmltv.tvmedia.ca,"ION (WPXN) New York, NY",,Y,
1797.stations.xmltv.tvmedia.ca,NBC Universo - Eastern feed,,Y,
180.stations.xmltv.tvmedia.ca,"CBC (CBUT) Vancouver, BC",,,Y
181.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WA",,,Y
182.stations.xmltv.tvmedia.ca,"NBC (KING) Seattle, WA",,,Y
183.stations.xmltv.tvmedia.ca,"CHEK Vancouver Island, BC",,,Y
184.stations.xmltv.tvmedia.ca,"CBS (KIRO) Seattle, WA",,,Y
1848.stations.xmltv.tvmedia.ca,SundanceTV USA - East,,Y,
185.stations.xmltv.tvmedia.ca,"CTV Vancouver, BC",,,Y
187.stations.xmltv.tvmedia.ca,"CITY Vancouver, BC",,,Y
188.stations.xmltv.tvmedia.ca,"ICI (CBUFT) Vancouver, BC",,,Y
1882.stations.xmltv.tvmedia.ca,"Global (CHEX-TV-2) Durham, ON",,,Y
189.stations.xmltv.tvmedia.ca,"FOX (KCPQ) Tacoma, WA - Canada",,,Y
190.stations.xmltv.tvmedia.ca,"PBS (KCTS) Seattle, WA",,,Y
19107.stations.xmltv.tvmedia.ca,"NYC Life (WNYE-DT1) New York, NY HD",,Y,
19168.stations.xmltv.tvmedia.ca,"PBS (WLIW) Long Island, NY HD",,Y,
1949.stations.xmltv.tvmedia.ca,"FOX (KTTV) Los Angeles, CA",Y,,
1952.stations.xmltv.tvmedia.ca,FXX USA - Eastern,,Y,
1957.stations.xmltv.tvmedia.ca,Starz In Black - Eastern,Y,,
1958.stations.xmltv.tvmedia.ca,Starz Encore Suspense - Eastern,,Y,
196.stations.xmltv.tvmedia.ca,"ICI (CBFT) Montreal, QC",,,Y
1960.stations.xmltv.tvmedia.ca,Science,Y,Y,
1971.stations.xmltv.tvmedia.ca,FYI USA - Eastern,,Y,
199.stations.xmltv.tvmedia.ca,"CJON (NTV) St-John, NL",,,Y
2.stations.xmltv.tvmedia.ca,A&E US - Eastern Feed,,Y,
20016.stations.xmltv.tvmedia.ca,Hollywood Suite 2010s+ HD,,,Y
20017.stations.xmltv.tvmedia.ca,Hollywood Suite 70s+ HD,,,Y
20018.stations.xmltv.tvmedia.ca,Hollywood Suite 80s & 90s HD,,,Y
20019.stations.xmltv.tvmedia.ca,Hollywood Suite 2000s HD,,,Y
201.stations.xmltv.tvmedia.ca,CNBC USA,Y,Y,
2035.stations.xmltv.tvmedia.ca,American Heroes Channel,,Y,Y
2077.stations.xmltv.tvmedia.ca,SHOXBET - Eastern,Y,,
2078.stations.xmltv.tvmedia.ca,Starz Encore Action - Eastern,Y,Y,
2088.stations.xmltv.tvmedia.ca,"PBS Kids (WNET-DT2) New York, NY",,Y,
2090.stations.xmltv.tvmedia.ca,Investigation Discovery USA - Eastern,Y,Y,
2091.stations.xmltv.tvmedia.ca,LOGO - East,Y,,
2093.stations.xmltv.tvmedia.ca,MTV Classic - East,Y,Y,
2120.stations.xmltv.tvmedia.ca,Starz Edge - Eastern,Y,Y,
2128.stations.xmltv.tvmedia.ca,Starz Encore Family - Eastern,,Y,
2172.stations.xmltv.tvmedia.ca,"CBS (KCBS) Los Angeles, CA",Y,,
2205.stations.xmltv.tvmedia.ca,HBO 2 - Pacific Feed,Y,,
2268.stations.xmltv.tvmedia.ca,Boomerang,,Y,
2270.stations.xmltv.tvmedia.ca,OuterMax - Eastern,,Y,
2271.stations.xmltv.tvmedia.ca,Showtime Showcase - Eastern,,Y,
2272.stations.xmltv.tvmedia.ca,Showtime Next - Eastern,,Y,
24.stations.xmltv.tvmedia.ca,"Global (CKWS) Kingston, ON",,,Y
2561.stations.xmltv.tvmedia.ca,"WMBC-Newton, NJ",,Y,
2574.stations.xmltv.tvmedia.ca,"NJ PBS (WNJN) Montclair, NJ",,Y,
2575.stations.xmltv.tvmedia.ca,"TBN (WTBY) New York, NY",,Y,
258.stations.xmltv.tvmedia.ca,"CTV (CFCN) Calgary, AB",,,Y
2588.stations.xmltv.tvmedia.ca,"NBC (KNBC) Los Angeles, CA",Y,,
2589.stations.xmltv.tvmedia.ca,"ABC (KABC) Los Angeles, CA",Y,,
2664.stations.xmltv.tvmedia.ca,CNBC World,,Y,
2680.stations.xmltv.tvmedia.ca,Starz Cinema - Eastern,,Y,
2707.stations.xmltv.tvmedia.ca,Lifetime Real Women East,,Y,
2729.stations.xmltv.tvmedia.ca,OUTtv,,,Y
2811.stations.xmltv.tvmedia.ca,"ABC (WXYZ) Detroit, MI - Canada HD",,,Y
2812.stations.xmltv.tvmedia.ca,"CBS (WWJ) Detroit, MI HD",,,Y
2814.stations.xmltv.tvmedia.ca,"CTV (CFTO) Toronto, ON HD",,,Y
2815.stations.xmltv.tvmedia.ca,"FOX (WJBK) Detroit, MI HD",,,Y
2816.stations.xmltv.tvmedia.ca,"NBC (WDIV) Detroit, MI HD",,,Y
2820.stations.xmltv.tvmedia.ca,Crave1 - East HD,,,Y
2825.stations.xmltv.tvmedia.ca,"CITY Toronto, ON HD",,,Y
2826.stations.xmltv.tvmedia.ca,"CBC (CBLT) Toronto, ON HD",,,Y
2829.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WA HD",,,Y
2830.stations.xmltv.tvmedia.ca,"CBS (KIRO) Seattle, WA HD",,,Y
2831.stations.xmltv.tvmedia.ca,"NBC (KING) Seattle, WA HD",,,Y
2832.stations.xmltv.tvmedia.ca,"FOX (KCPQ) Tacoma, WA HD - Canada",,,Y
292.stations.xmltv.tvmedia.ca,HBO Canada 2 - West,,,Y
295.stations.xmltv.tvmedia.ca,E! Canada,,,Y
296.stations.xmltv.tvmedia.ca,Oprah Winfrey Network Canada,,,Y
3008.stations.xmltv.tvmedia.ca,CNN International North America,,Y,Y
309.stations.xmltv.tvmedia.ca,CTV Life,,,Y
31.stations.xmltv.tvmedia.ca,Global BC,,,Y
318.stations.xmltv.tvmedia.ca,Global (CKMI) Quebec,,,Y
31846.stations.xmltv.tvmedia.ca,"CTV (CICI) Sudbury, ON HD",,,Y
320.stations.xmltv.tvmedia.ca,Crave4,,,Y
321.stations.xmltv.tvmedia.ca,CP24 (CablePulse 24),,,Y
323.stations.xmltv.tvmedia.ca,BET - Eastern Feed,,Y,
32348.stations.xmltv.tvmedia.ca,"ShopHQ (WRNN) Kingston, NY HD",,Y,
3252.stations.xmltv.tvmedia.ca,History Channel Espanol - Eastern,Y,,
32846.stations.xmltv.tvmedia.ca,"Estrella (WASA-LD) Port Jervis, NY HD",,Y,
329.stations.xmltv.tvmedia.ca,Game Show Network - East,,Y,
33016.stations.xmltv.tvmedia.ca,"NHK World (WNJN-DT2) Montclair, NJ",,Y,
3316.stations.xmltv.tvmedia.ca,CTV (CJCH) Halifax,,,Y
3317.stations.xmltv.tvmedia.ca,CTV (CKCW) Moncton,,,Y
3318.stations.xmltv.tvmedia.ca,"CTV (CJCB) Sydney/ Cape Breton, NS",,,Y
333.stations.xmltv.tvmedia.ca,truTV USA - Eastern,,Y,
34.stations.xmltv.tvmedia.ca,"CBC (CBLT) Toronto, ON",,,Y
3401.stations.xmltv.tvmedia.ca,"CTV2 Windsor, ON",,,Y
347.stations.xmltv.tvmedia.ca,TNT - Eastern Feed,,Y,
3479.stations.xmltv.tvmedia.ca,HBO On Demand,,,Y
35317.stations.xmltv.tvmedia.ca,AMC+,Y,,
3561.stations.xmltv.tvmedia.ca,CNBC Canada,,,Y
3567.stations.xmltv.tvmedia.ca,Cinemax - Eastern HD,Y,,
359.stations.xmltv.tvmedia.ca,TSC,,,Y
3613.stations.xmltv.tvmedia.ca,STARZ1 - East HD,,,Y
3624.stations.xmltv.tvmedia.ca,OMNI.2 HD,,,Y
3633.stations.xmltv.tvmedia.ca,Treehouse On Demand,,,Y
3662.stations.xmltv.tvmedia.ca,WSBK (TV-38) Boston HD,,,Y
37.stations.xmltv.tvmedia.ca,"Global (CHEX) Peterborough, ON",,,Y
37711.stations.xmltv.tvmedia.ca,Natyf TV HD,,,Y
38.stations.xmltv.tvmedia.ca,"CTV Ottawa (CJOH), ON",,,Y
3808.stations.xmltv.tvmedia.ca,MTV Tr3s - East,Y,,
3822.stations.xmltv.tvmedia.ca,AMC - Canada,,,Y
3886.stations.xmltv.tvmedia.ca,A&E Canada HD,,,Y
3887.stations.xmltv.tvmedia.ca,CTV Speed HD,,,Y
39.stations.xmltv.tvmedia.ca,"CTV (CFTO) Toronto, ON",,,Y
3905.stations.xmltv.tvmedia.ca,"CTV Vancouver, BC HD",,,Y
3906.stations.xmltv.tvmedia.ca,BBC First HD,,,Y
3908.stations.xmltv.tvmedia.ca,BBC Earth HD,,,Y
3936.stations.xmltv.tvmedia.ca,"CITY Vancouver, BC HD",,,Y
3958.stations.xmltv.tvmedia.ca,ONE TV HD,,,Y
4021.stations.xmltv.tvmedia.ca,Global (CIII) Ontario HD,,,Y
4022.stations.xmltv.tvmedia.ca,"CBC (CBMT) Montreal, QC HD",,,Y
41.stations.xmltv.tvmedia.ca,OMNI.1 Television,,,Y
414.stations.xmltv.tvmedia.ca,MTV Canada,,,Y
416.stations.xmltv.tvmedia.ca,CTV News Channel,,,Y
4161.stations.xmltv.tvmedia.ca,Showcase Canada HD,,,Y
4162.stations.xmltv.tvmedia.ca,National Geographic Canada HD,,,Y
4179.stations.xmltv.tvmedia.ca,Peachtree TV (Canada),,,Y
4180.stations.xmltv.tvmedia.ca,Starz1 onDemand,,,Y
4186.stations.xmltv.tvmedia.ca,SNY: SportsNet New York (Comcast),,Y,
4194.stations.xmltv.tvmedia.ca,Global BC HD,,,Y
42.stations.xmltv.tvmedia.ca,"CITY Toronto, ON",,,Y
4202.stations.xmltv.tvmedia.ca,WGN Canada,,,Y
4223.stations.xmltv.tvmedia.ca,Starz Comedy - Eastern,,Y,
4225.stations.xmltv.tvmedia.ca,Discovery Family Channel,Y,,
4226.stations.xmltv.tvmedia.ca,The Cooking Channel,Y,Y,
4230.stations.xmltv.tvmedia.ca,HBO1 HD,,,Y
425.stations.xmltv.tvmedia.ca,HLN,,Y,Y
4259.stations.xmltv.tvmedia.ca,PBS - Network HD - Eastern,Y,,
4282.stations.xmltv.tvmedia.ca,"PBS (WTVS) Detroit, MI HD",,,Y
43.stations.xmltv.tvmedia.ca,"CHCH Hamilton, ON",,,Y
4311.stations.xmltv.tvmedia.ca,A&E Canada,,,Y
4350.stations.xmltv.tvmedia.ca,TMC Xtra - Eastern,,Y,
438.stations.xmltv.tvmedia.ca,STARZ2 - East,,,Y
448.stations.xmltv.tvmedia.ca,Deja View,,,Y
45.stations.xmltv.tvmedia.ca,"FOX (WUTV) Buffalo, NY",,,Y
451.stations.xmltv.tvmedia.ca,Crime + Investigation Canada,,,Y
455.stations.xmltv.tvmedia.ca,Cottage Life,,,Y
4553.stations.xmltv.tvmedia.ca,"ABC (WABC) New York, NY HD",,Y,
4555.stations.xmltv.tvmedia.ca,"CBS (WCBS) New York, NY HD",,Y,
4557.stations.xmltv.tvmedia.ca,"FOX (WNYW) New York, NY HD",,Y,
4559.stations.xmltv.tvmedia.ca,"NBC (WNBC) New York, NY HD",,Y,
461.stations.xmltv.tvmedia.ca,History 2 Canada,,,Y
462.stations.xmltv.tvmedia.ca,Documentary Channel (Canada),,,Y
463.stations.xmltv.tvmedia.ca,"ICI (CBOFT) Ottawa, ON",,,Y
4656.stations.xmltv.tvmedia.ca,Fox Business,,Y,
4657.stations.xmltv.tvmedia.ca,Cinemax on Demand,,Y,
4659.stations.xmltv.tvmedia.ca,TMC on Demand,,Y,
4679.stations.xmltv.tvmedia.ca,Smithsonian Channel USA,,Y,
