"file_name","extension","size_bytes","sha256","full_path"
"212E92A05A__de_adultswim.m3u",".m3u","4050","212E92A05A2D38962303BC9788DC7A126AFCE48179C2FA396FFF412F098FCC9C","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\212E92A05A__de_adultswim.m3u"
"21DBDC4BFE__playlist_free-tv_au.m3u8",".m3u8","16826","21DBDC4BFE4F24D91FCF19E268109776577234F65A9DA00368E99FC9E012AD28","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\21DBDC4BFE__playlist_free-tv_au.m3u8"
"24C1D97A60__us_pbs.m3u",".m3u","2534","24C1D97A603AF9CD40FB40313B1115C27013C81E052A8074C57BCAC58F5A1796","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\24C1D97A60__us_pbs.m3u"
"25D62BBA2D__raw.m3u8",".m3u8","210629","25D62BBA2D519ADEAC436D55EDB7B75FFFBF8AD6C674E251145A23D31BFFD51E","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\25D62BBA2D__raw.m3u8"
"266F56FF94__az_odtv.m3u",".m3u","5373","266F56FF9438112BAC267CF73752D960DF39A5F22DFE499893876D4CA485A986","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\266F56FF94__az_odtv.m3u"
"27878C1164__dk.m3u",".m3u","3027","27878C1164B48F0D47F9B378E04C0611E1AB0D59AA691F40D4E7E4D94795E8D2","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\27878C1164__dk.m3u"
"29FCBCA3D9__playlist_apsattv_samsung_us.m3u",".m3u","106383","29FCBCA3D934EA9851C5655A60EF0A35DE0431F5927C6D50412A933BD6B5730B","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\29FCBCA3D9__playlist_apsattv_samsung_us.m3u"
"2B0BF86FE2__my.m3u",".m3u","3516","2B0BF86FE20E95D2004766A2EF4E57CE94ECE12C7F6B2A8BAE88849BC40C0EEA","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\2B0BF86FE2__my.m3u"
"2E7743AA88__us.m3u",".m3u","542127","2E7743AA88AA01B4E49016C250487DC374AED0146400EB15891981BC470751D1","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\2E7743AA88__us.m3u"
"2ED3500F79__playlist_src_us_abcnews.m3u",".m3u","2922","2ED3500F7952FB43BD7A533AFE5C33FCE73F04399D3958B3A20B5DD44A56CBDF","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\2ED3500F79__playlist_src_us_abcnews.m3u"
"30491F9FE7__playlist_tvpass.m3u",".m3u","65729","30491F9FE77605C474537B17DCF1D48674356C6C92647DCEF8E65EEC11ED75EE","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\30491F9FE7__playlist_tvpass.m3u"
"31B5AC08C1__ug.m3u",".m3u","5126","31B5AC08C1EE78F68EFB1A4ABC1FC193F142874DD311519BCF7F84273B88FB23","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\31B5AC08C1__ug.m3u"
"3405DBE275__es_pluto.m3u",".m3u","24025","3405DBE2750100F455D731E5C090688F5F4DAEFAD735B460E371F47780375BC5","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\3405DBE275__es_pluto.m3u"
"35866501BF__ps.m3u",".m3u","3940","35866501BF51E9FB0CE704CA097BDB5372EAE41E8DFD1A3A6CBB6E29FED8B519","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\35866501BF__ps.m3u"
"36E17F172A__ci.m3u",".m3u","3614","36E17F172ADCE457395D8FBEA45321AC1FFD6C446723CA43AD40624EA9BCAD0D","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\36E17F172A__ci.m3u"
"39076BBA16__ir.m3u",".m3u","3895","39076BBA16C7226D62E0D8D886104B76162228CE7FA266947E3FC5E7599455A6","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\39076BBA16__ir.m3u"
"390C6BDDBD__us_cbsn.m3u",".m3u","2755","390C6BDDBD2C811AA011F7E00C9B8781076810F8D2EB4D4013F2DB0230C04243","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\390C6BDDBD__us_cbsn.m3u"
