"file_name","extension","size_bytes","sha256","full_path"
"311F6B44C5__discover_us_directv.xml",".xml","129084","311F6B44C5F69F61795BCD1863C36AFF4168F2632759D7F7913B75DC2AA306EB","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\311F6B44C5__discover_us_directv.xml"
"31C4D2299B__tvtv.us.channels.xml",".xml","266222","31C4D2299B8881ACEBC4688F13D4F19E16927BD93F2991C244A1E35EBBC3E79B","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\31C4D2299B__tvtv.us.channels.xml"
"331AE3F17F__content.xml",".xml","12088030","331AE3F17F67B83F63A7D452F4E2AD95325B2CAC548A7D69E5D510413928BB08","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\331AE3F17F__content.xml"
"332C4E63EB__epg_epgshare_rakuten1.xml.gz",".gz","8926343","332C4E63EB7350DD817DF5E569722645A7507A366553E0FBEAC5E5942E62517D","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\332C4E63EB__epg_epgshare_rakuten1.xml.gz"
"38BE410B9C__directv.com.channels.xml",".xml","116439","38BE410B9CD7C6EFA0175889DFDD3E57BCD0DADF8728B7D4E8E7FFADF07D082D","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\38BE410B9C__directv.com.channels.xml"
"4144F20154__epg.iptvx.one.channels.xml",".xml","310277","4144F201542AA626DAB8A5E4B4B90F99A177D94148C786F1B2E07BBECF11C94B","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\4144F20154__epg.iptvx.one.channels.xml"
"41E842131A__tvprofil.com.channels.xml",".xml","658826","41E842131AA3097C2851820178F9ACADA360FEE3C84EA5ABCD77480BC7B7FAA9","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\41E842131A__tvprofil.com.channels.xml"
"440A6C78E3__epg_epgpw_us.xml.gz",".gz","1528894","440A6C78E32085120E055336EFB6B898A1BF34AF030D2741839FBA58CDCCCBEA","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\440A6C78E3__epg_epgpw_us.xml.gz"
"45289FBDC2__i.mjh.nz_samsung.channels.xml",".xml","179197","45289FBDC25B20EA00702E4FF319C814ED4013B5C0AE33F735F7E72D46316290","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\45289FBDC2__i.mjh.nz_samsung.channels.xml"
"47E15D3924__epg_epgshare_us_locals2.xml.gz",".gz","30787662","47E15D3924EE29A8EE35F8000283CA3072B213A7BB28290C5EC2FACEDDBDD49C","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\47E15D3924__epg_epgshare_us_locals2.xml.gz"
"4D2B089DC5__open-epg-au.xml",".xml","6592541","4D2B089DC5FC0F77FD7DAED83511BE16F4C2F08EF1983D57828528CF4A1080F0","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\4D2B089DC5__open-epg-au.xml"
"4E0F54E40E__epg_openepg_uk4.xml.gz",".gz","1059308","4E0F54E40EE1218402021086E7638D2B92C9E2F80624E4708D92472C44A5603B","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\4E0F54E40E__epg_openepg_uk4.xml.gz"
"50979B71A9__tv24.co.uk.channels.xml",".xml","109673","50979B71A9901C30C852AC6EDFF21A839559796468EF78950494515F66D39216","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\50979B71A9__tv24.co.uk.channels.xml"
"56469FA948__epg_epgshare_us1.xml.gz",".gz","3041516","56469FA94862CEE5BD50A559287B467800F2624359AEAF12138E195D2ACB3965","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\56469FA948__epg_epgshare_us1.xml.gz"
"574A7C454B__m.tv.sms.cz.channels.xml",".xml","104383","574A7C454B69DC39753BED29391D16C62DB663188210E9124773060D3EE78467","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\574A7C454B__m.tv.sms.cz.channels.xml"
"5DB8C6BB2A__sat.tv_en.channels.xml",".xml","1464677","5DB8C6BB2A0A68527F0D0591AB6B485A17A5D6D4F6EE5B0F0344A964BB434E2E","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\5DB8C6BB2A__sat.tv_en.channels.xml"
