"source_label","source_mode","source_rank","category","extension","size_bytes","last_write_time","file_name","full_path"
"canonical_free_epg","active_input","2","active_epg",".gz","107548","2025-08-11 02:55:47","009C51448F__epg_openepg_au1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\009C51448F__epg_openepg_au1.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","259325","2025-11-22 11:55:20","022FEAC90D__ontvtonight.com_us.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\022FEAC90D__ontvtonight.com_us.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","1712659","2024-11-04 14:47:11","06B9F4A1C2__tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\06B9F4A1C2__tvpassport.com.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","174277","2025-11-22 11:55:20","06C84A0106__ontvtonight.com_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\06C84A0106__ontvtonight.com_au.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","279446","2025-11-22 11:55:20","071C0B0A16__i.mjh.nz_pluto.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\071C0B0A16__i.mjh.nz_pluto.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","1780427","2025-09-26 10:40:03","0C69D83EE7__sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\0C69D83EE7__sat.tv_ar.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","101424","2024-11-04 14:47:10","11063A3521__m.tv.sms.cz.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\11063A3521__m.tv.sms.cz.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","109773","2025-11-22 11:55:20","13585D58C8__tv24.co.uk.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\13585D58C8__tv24.co.uk.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","415531","2025-08-11 02:55:48","13FFF8EAF7__epg_openepg_ca1.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\13FFF8EAF7__epg_openepg_ca1.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","99560","2025-09-26 10:40:03","14418F8864__tv.blue.ch.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\14418F8864__tv.blue.ch.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","260963","2024-11-04 14:47:11","15A5795CDA__tvtv.us.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\15A5795CDA__tvtv.us.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","116197","2025-09-26 10:40:03","175937284B__directv.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\175937284B__directv.com.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".gz","829488","2025-08-11 02:55:50","175B0DCE55__epg_openepg_ca3.xml.gz","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\175B0DCE55__epg_openepg_ca3.xml.gz"
"canonical_free_epg","active_input","2","active_epg",".xml","119042","2025-11-22 11:55:20","1834A6AF2F__chaines-tv.orange.fr.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\1834A6AF2F__chaines-tv.orange.fr.channels.xml"
"canonical_free_epg","active_input","2","active_epg",".xml","174279","2024-11-04 14:47:10","1D0C798028__ontvtonight.com_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\inputs\free_epg\1D0C798028__ontvtonight.com_au.channels.xml"
