tag,site,name,xmltv_id,lang,site_id,source_file
tv24.co.uk,tv24.co.uk,Sky Cinema Sci Fi & Horror,,en,sky-cinema-sci-fi-horror,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Cinema Sci Fi & Horror HD,,en,sky-cinema-sci-fi-horror-hd,tv24.co.uk.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Cinema Sci-Fi & Horror,SkyCinemaSciFiHorror.uk@SD,en,http://bds.tv/services/BT_727786_1807_SD,player.ee.co.uk.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Cinema Sci-Fi & Horror HD,SkyCinemaSciFiHorror.uk@HD,en,http://bds.tv/services/BT_758030_1807_HD,player.ee.co.uk.channels.xml
epgshare01.online,epgshare01.online,Sky Cinema Select,,en,UK1#Sky.Cinema.Select.uk,epgshare01.online_UK1.channels.xml
tv24.co.uk,tv24.co.uk,Sky Cinema Select,,en,sky-cinema-select,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Cinema Select HD,,en,sky-cinema-select-hd,tv24.co.uk.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Cinema Thriller,SkyCinemaThriller.uk@SD,en,http://bds.tv/services/BT_756491_1818_SD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Cinema Thriller,,en,sky-cinema-thriller,tv24.co.uk.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Cinema Thriller HD,SkyCinemaThriller.uk@HD,en,http://bds.tv/services/BT_755087_1818_HD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Cinema Thriller HD,,en,sky-cinema-thriller-hd,tv24.co.uk.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Comedy,SkyComedy.uk@SD,en,http://bds.tv/services/BT_772057_1177_SD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Comedy,,en,sky-comedy,tv24.co.uk.channels.xml
epgshare01.online,epgshare01.online,Sky Comedy Cinema,,en,UK1#Sky.Comedy.Cinema.uk,epgshare01.online_UK1.channels.xml
epgshare01.online,epgshare01.online,Sky Comedy HD,,en,UK1#Sky.Comedy.HD.uk,epgshare01.online_UK1.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Comedy HD,SkyComedy.uk@HD,en,http://bds.tv/services/BT_772066_1177_HD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Comedy HD,,en,sky-comedy-hd,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Comedy HD,SkyCinemaComedy.uk@HD,en,1512,virgintvgo.virginmedia.com.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Comedy HD,SkyComedy.uk@HD,en,2119,virgintvgo.virginmedia.com.channels.xml
tv24.co.uk,tv24.co.uk,Sky Comedy HD (Virgin Custom),,en,sky-comedy-hd-virgin-custom,tv24.co.uk.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Crime,SkyCrime.uk@SD,en,http://bds.tv/services/BT_753644_1212_SD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Crime,,en,sky-crime-2,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Crime,,en,sky-crime,tv24.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Crime +1,,en,sky-crime-1,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Crime +1,SkyCrime.uk@Plus1,en,1397,virgintvgo.virginmedia.com.channels.xml
epgshare01.online,epgshare01.online,Sky Crime HD,,en,UK1#Sky.Crime.HD.uk,epgshare01.online_UK1.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Crime HD,SkyCrime.uk@HD,en,http://bds.tv/services/BT_772065_1212_HD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Crime HD,,en,sky-crime-hd,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Crime HD,SkyCrime.uk@HD,en,2083,virgintvgo.virginmedia.com.channels.xml
epgshare01.online,epgshare01.online,Sky Crime+1,,en,UK1#Sky.Crime+1.uk,epgshare01.online_UK1.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Documentaries,SkyDocumentaries.uk@SD,en,http://bds.tv/services/BT_772169_1127_SD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Documentaries,,en,sky-documentaries,tv24.co.uk.channels.xml
epgshare01.online,epgshare01.online,Sky Documentaries HD,,en,UK1#Sky.Documentaries.HD.uk,epgshare01.online_UK1.channels.xml
player.ee.co.uk,player.ee.co.uk,Sky Documentaries HD,SkyDocumentaries.uk@HD,en,http://bds.tv/services/BT_772172_1127_HD,player.ee.co.uk.channels.xml
tv24.co.uk,tv24.co.uk,Sky Documentaries HD,,en,sky-documentaries-hd,tv24.co.uk.channels.xml
virgintvgo.virginmedia.com,virgintvgo.virginmedia.com,Sky Documentaries HD,SkyDocumentaries.uk@HD,en,2127,virgintvgo.virginmedia.com.channels.xml
epgshare01.online,epgshare01.online,Sky Drama HD,,en,UK1#Sky.Drama.HD.uk,epgshare01.online_UK1.channels.xml
epgshare01.online,epgshare01.online,Sky Family HD,,en,UK1#Sky.Family.HD.uk,epgshare01.online_UK1.channels.xml
