data_key,scope_order,selected_channel_name,tvg_id,network,feed,location,group_title,match_status,matched_channel_count,matched_channel_names,matched_tvg_ids
tvg_id::5568,58,NY | Buffalo | CBS WIVB,5568,CBS,,"Buffalo, NY",CBS - LOCAL,matched,1,NY | Buffalo | CBS WIVB,5568
tvg_id::5752,59,NY | Buffalo | FOX WUTV,5752,FOX,,"Buffalo, NY",FOX - LOCAL,matched,1,NY | Buffalo | FOX WUTV,5752
tvg_id::5045,60,NY | New York | ABC 7 WABC,5045,ABC,,"New York, NY",ABC - LOCAL,matched,1,NY | New York | ABC 7 WABC,5045
tvg_id::5519,61,NY | New York | CBS WCBS,5519,CBS,,"New York, NY",CBS - LOCAL,matched,1,NY | New York | CBS WCBS,5519
tvg_id::5753,62,NY | New York | FOX WNYW,5753,FOX,,"New York, NY",FOX - LOCAL,matched,1,NY | New York | FOX WNYW,5753
tvg_id::3760,63,PBS KPBS San Diego CA,3760,PBS,,"San Diego, CA",Local Channels,matched,1,PBS KPBS San Diego CA,3760
tvg_id::125,64,Showtime (East),125,Showtime,East,,Movies,matched,1,Showtime (East),125
tvg_id::126,65,Showtime (West),126,Showtime,West,,Movies,matched,1,Showtime (West),126
tvg_id::127,66,Showtime 2 (East),127,Showtime,East,,Movies,matched,1,Showtime 2 (East),127
tvg_id::130,67,Starz (East),130,Starz,East,,Movies,matched,1,Starz (East),130
tvg_id::131,68,Starz (West),131,Starz,West,,Movies,matched,1,Starz (West),131
tvg_id::133,69,Syfy (East),133,Syfy,East,,Entertainment,matched,1,Syfy (East),133
tvg_id::134,70,TBS Superstation (East),134,TBS,East,,Entertainment,matched,1,TBS Superstation (East),134
tvg_id::135,71,TBS Superstation (West),135,TBS,West,,Entertainment,matched,1,TBS Superstation (West),135
tvg_id::144,72,TCM (East),144,,East,,Movies,matched,1,TCM (East),144
tvg_id::139,73,The Learning Channel TLC (East),139,TLC,East,,Entertainment,matched,1,The Learning Channel TLC (East),139
tvg_id::143,74,TruTV (East),143,TruTV,East,,Entertainment,matched,1,TruTV (East),143
tvg_id::140,75,Turner Network Television TNT (East),140,TNT,East,,Entertainment,matched,1,Turner Network Television TNT (East),140
tvg_id::141,76,Turner Network Television TNT (West),141,TNT,West,,Entertainment,matched,1,Turner Network Television TNT (West),141
tvg_id::145,77,TV Land (East),145,TV Land,East,,Entertainment,matched,1,TV Land (East),145
