"publish_type","file_name","relative_path","tivimate_stage_path","runtime_stage_path","size_bytes","sha256"
"m3u","de_adultswim.m3u","review_from_iptv__C42511BE\de_adultswim.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\de_adultswim.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\de_adultswim.m3u","4050","212E92A05A2D38962303BC9788DC7A126AFCE48179C2FA396FFF412F098FCC9C"
"m3u","de_pluto.m3u","review_from_iptv__C42511BE\de_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\de_pluto.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\de_pluto.m3u","98598","521C904AEB8647C81230C904ECE87B8B4E4A3F9044EC3FEAFB8A221CFA350125"
"m3u","de_rakuten.m3u","review_from_iptv__C42511BE\de_rakuten.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\de_rakuten.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\de_rakuten.m3u","1032","2F9A4252DB17327CEF399BEE1A5300361DB9F3911E4898900E217BF0F6E38940"
"m3u","de_samsung.m3u","review_from_iptv__C42511BE\de_samsung.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\de_samsung.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\de_samsung.m3u","515","48CAEE7114B5B96B81F50998CB830EB544D24A2BB6B1691A3DB771FF3236E05D"
"m3u","DE1632EFC5__ca.m3u","DE1632EFC5__ca.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DE1632EFC5__ca.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DE1632EFC5__ca.m3u","19399","DE1632EFC522D8FDDA8BC48A6BCB128092FBD3073D8DFEB6F01C0301229FD65B"
"m3u","DE298230A4__al.m3u","DE298230A4__al.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DE298230A4__al.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DE298230A4__al.m3u","2362","DE298230A441F896499B04408B228CF9FD4143CD27984CE85265EF95436B9E03"
"m3u","DE9FDEFA20__playlist_iptv-org_nz.m3u","DE9FDEFA20__playlist_iptv-org_nz.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\DE9FDEFA20__playlist_iptv-org_nz.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\DE9FDEFA20__playlist_iptv-org_nz.m3u","6490","DE9FDEFA205582255B793E38BE63D429BF12BC6D3F2582BE77C5F3E40855F9FF"
"m3u","dj.m3u","review_from_iptv__C42511BE\dj.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\dj.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\dj.m3u","9","058ED0FEA4FCBEA0706176503D71018DF34C40C412F02667BCB375633A6082AD"
"m3u","dk.m3u","review_from_iptv__C42511BE\dk.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\dk.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\dk.m3u","3027","27878C1164B48F0D47F9B378E04C0611E1AB0D59AA691F40D4E7E4D94795E8D2"
"m3u","dk_samsung.m3u","review_from_iptv__C42511BE\dk_samsung.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\dk_samsung.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\dk_samsung.m3u","1049","D033DCEB73EA027AFB46C65A99D642D8E555E303E4C1DD319191AFD4D0A214AC"
"m3u","dm.m3u","review_from_iptv__C42511BE\dm.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\dm.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\dm.m3u","128","A0B413751EEC80CE89C3F0E0CE7981EE4E87901FFC7BFEF03AF31F913BC7CE3B"
"m3u","do.m3u","review_from_iptv__C42511BE\do.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\do.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\do.m3u","29606","753252784FCEB0C5BAFC6A4C32124504E8AF593216169E319B731109646CDAFF"
"m3u","dz.m3u","review_from_iptv__C42511BE\dz.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\review_from_iptv__C42511BE\dz.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\review_from_iptv__C42511BE\dz.m3u","1823","30D166304FA0313BC10BCC04E46EE13157F1A2A26627C64A74FF2647DAF73336"
"m3u","E0D5D9E412__cl.m3u","E0D5D9E412__cl.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\E0D5D9E412__cl.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\E0D5D9E412__cl.m3u","27274","E0D5D9E412291E31B5DD30BBA31247A5C1490BE89FD3CD2ADFCA94AC0F97097B"
"m3u","E148AF3D21__playlist_src_us_glewed.m3u","E148AF3D21__playlist_src_us_glewed.m3u","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\current\m3u\E148AF3D21__playlist_src_us_glewed.m3u","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\current\m3u\E148AF3D21__playlist_src_us_glewed.m3u","2185","E148AF3D2155B2FF8ECC19EBF2A4CA27C85AC9B1250160F2DAC22E02AFFE9F92"
